date,row_type,power_law_1x,power_law_0_5x,power_law_2x,power_law_3x,base_catchup_price,base_multiplier,bull_catchup_price,bull_multiplier,bear_catchup_price,bear_multiplier,notes
2026-05-01,monthly,128414,64207,256828,385242,78000,0.6074,78000,0.6074,78000,0.6074,"Anchor: assumed BTC market price $78,000"
2026-06-01,monthly,131988,65994,263976,395964,81628,0.6185,85375,0.6468,80652,0.6111,
2026-07-01,monthly,135524,67762,271048,406572,85300,0.6294,93175,0.6875,83303,0.6147,
2026-08-01,monthly,139259,69630,278519,417778,89268,0.641,101984,0.7323,86135,0.6185,
2026-09-01,monthly,143079,71539,286158,429237,93421,0.6529,111627,0.7802,89064,0.6225,
2026-10-01,monthly,146857,73428,293714,440571,97623,0.6647,121825,0.8295,91992,0.6264,
2026-11-01,monthly,150846,75423,301693,452539,102164,0.6773,133343,0.884,95119,0.6306,
2026-12-01,monthly,154792,77396,309584,464375,106760,0.6897,145526,0.9401,98247,0.6347,
2026-12-31,exact_catchup,158822,79411,317643,476465,111562,0.7024,158822,1.0,101477,0.6389,Bull catch-up: market reaches 1.0x Power Law
2027-01-01,monthly,158957,79479,317915,476872,111726,0.7029,158957,1.0,101587,0.6391,
2027-02-01,monthly,163215,81607,326429,489644,116923,0.7164,163215,1.0,105040,0.6436,
2027-03-01,monthly,167140,83570,334280,501420,121825,0.7289,167140,1.0,108260,0.6477,
2027-04-01,monthly,171576,85788,343152,514728,127492,0.7431,171576,1.0,111941,0.6524,
2027-05-01,monthly,175961,87980,351921,527882,133227,0.7571,175961,1.0,115621,0.6571,
2027-06-01,monthly,180588,90294,361176,541764,139424,0.7721,180588,1.0,119552,0.662,
2027-07-01,monthly,185161,92580,370321,555482,145696,0.7869,185161,1.0,123483,0.6669,
2027-08-01,monthly,189985,94993,379970,569956,152473,0.8026,189985,1.0,127680,0.6721,
2027-09-01,monthly,194913,97456,389825,584738,159566,0.8187,194913,1.0,132021,0.6773,
2027-10-01,monthly,199781,99890,399562,599343,166744,0.8346,199781,1.0,136362,0.6826,
2027-11-01,monthly,204916,102458,409832,614747,174500,0.8516,204916,1.0,140997,0.6881,
